-0.02,
0.07,
0.01,
0.01,
0.10,
-0.04,
0.55,
12.71,
44.11,
100.18,
135.17,
167.13,
195.23,
222.01,
247.53,
271.35,
291.05,
305.41,
715.87,
695.61,
668.52,
651.35,
610.26,
588.43,
583.00,
574.49,
556.94,
542.85,
528.52,
498.66,
480.14,
466.75,
455.53,
432.36,
402.20,
372.09,
346.43,
291.95,
278.95,
262.75,
234.91,
207.03,
174.21,
138.70,
109.33,
-0.10,
